Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Pclass,Survived
Mr. Owen Harris Braund,male,22,1,0,7.25,3rd,no
Mrs. John Bradley (Florence Briggs Thayer) Cumings,female,38,1,0,71.2833,1st,yes
Miss. Laina Heikkinen,female,26,0,0,7.925,3rd,yes
Mrs. Jacques Heath (Lily May Peel) Futrelle,female,35,1,0,53.1,1st,yes
Mr. William Henry Allen,male,35,0,0,8.05,3rd,no
Mr. James Moran,male,27,0,0,8.4583,3rd,no
Mr. Timothy J McCarthy,male,54,0,0,51.8625,1st,no
Master. Gosta Leonard Palsson,male,2,3,1,21.075,3rd,no
Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,female,27,0,2,11.1333,3rd,yes
Mrs. Nicholas (Adele Achem) Nasser,female,14,1,0,30.0708,2nd,yes
Miss. Marguerite Rut Sandstrom,female,4,1,1,16.7,3rd,yes
Miss. Elizabeth Bonnell,female,58,0,0,26.55,1st,yes
Mr. William Henry Saundercock,male,20,0,0,8.05,3rd,no
Mr. Anders Johan Andersson,male,39,1,5,31.275,3rd,no
Miss. Hulda Amanda Adolfina Vestrom,female,14,0,0,7.8542,3rd,no
Mrs. (Mary D Kingcome) Hewlett,female,55,0,0,16,2nd,yes
Master. Eugene Rice,male,2,4,1,29.125,3rd,no
Mr. Charles Eugene Williams,male,23,0,0,13,2nd,yes
Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,female,31,1,0,18,3rd,no
Mrs. Fatima Masselmani,female,22,0,0,7.225,3rd,yes
Mr. Joseph J Fynney,male,35,0,0,26,2nd,no
Mr. Lawrence Beesley,male,34,0,0,13,2nd,yes
Miss. Anna McGowan,female,15,0,0,8.0292,3rd,yes
Mr. William Thompson Sloper,male,28,0,0,35.5,1st,yes
Miss. Torborg Danira Palsson,female,8,3,1,21.075,3rd,no
Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,female,38,1,5,31.3875,3rd,yes
Mr. Farred Chehab Emir,male,26,0,0,7.225,3rd,no
Mr. Charles Alexander Fortune,male,19,3,2,263,1st,no
Miss. Ellen O'Dwyer,female,24,0,0,7.8792,3rd,yes
Mr. Lalio Todoroff,male,23,0,0,7.8958,3rd,no
Don. Manuel E Uruchurtu,male,40,0,0,27.7208,1st,no
Mrs. William Augustus (Marie Eugenie) Spencer,female,48,1,0,146.5208,1st,yes
Miss. Mary Agatha Glynn,female,18,0,0,7.75,3rd,yes
Mr. Edward H Wheadon,male,66,0,0,10.5,2nd,no
Mr. Edgar Joseph Meyer,male,28,1,0,82.1708,1st,no
Mr. Alexander Oskar Holverson,male,42,1,0,52,1st,no
Mr. Hanna Mamee,male,18,0,0,7.2292,3rd,yes
Mr. Ernest Charles Cann,male,21,0,0,8.05,3rd,no
Miss. Augusta Maria Vander Planke,female,18,2,0,18,3rd,no
Miss. Jamila Nicola-Yarred,female,14,1,0,11.2417,3rd,yes
